gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,PredictionTime,ModelUsed,Churn
Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,2024-06-27,Logistic Regression,No
Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,2024-06-27,Logistic Regression,No
Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,5000.0,2024-06-27,Logistic Regression,Yes
Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,5000.0,2024-06-27,Gradient Boost,Yes
Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,2024-06-27 11:17:53.546353,Logistic Regression,No
Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,11:21:01,Logistic Regression,No
Male,0,Yes,Yes,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.0,0.0,06-27-2024 11:24:14,Logistic Regression,No
Female,0,Yes,No,1,No,,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85000038,29.85000038,12:51:40,Logistic Regression,Yes
Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95000076,1889.5,,,
Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.84999847,108.1500015,,,
Male,0,No,No,45,No,,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.29999924,1840.75,,,
